Code,City,Country,Latitude,Longitude
ABW,Oranjestad,Aruba,12.5304,-70.029
AFG,Kabul,Afghanistan,34.5167,69.1833
AGO,Luanda,Angola,-8.8383,13.2344
ALB,Tirana,Albania,41.3275,19.8189
AND,Andorra la Vella,Andorra,42.5,1.5165
ARE,Abu Dhabi,United Arab Emirates,24.4667,54.3666
ARG,Buenos Aires,Argentina,-34.6025,-58.3975
ARM,Yerevan,Armenia,40.1812,44.5136
ASM,Pago Pago,American Samoa,-14.274,-170.705
ATG,Saint John’s,Antigua And Barbuda,17.118,-61.85
AUS,Canberra,Australia,-35.283,149.129
AUT,Vienna,Austria,48.2,16.3666
AZE,Baku,Azerbaijan,40.3953,49.8622
BDI,Bujumbura,Burundi,-3.3761,29.36
BDI,Gitega,Burundi,-3.4271,29.9246
BEL,Brussels,Belgium,50.8333,4.3333
BEN,Cotonou,Benin,6.4,2.52
BEN,Porto-Novo,Benin,6.4833,2.6166
BFA,Ouagadougou,Burkina Faso,12.3703,-1.5247
BGD,Dhaka,Bangladesh,23.7231,90.4086
BGR,Sofia,Bulgaria,42.6833,23.3167
BHR,Manama,Bahrain,26.2361,50.5831
BHS,Nassau,"Bahamas, The",25.0834,-77.35
BIH,Sarajevo,Bosnia And Herzegovina,43.85,18.383
BLR,Minsk,Belarus,53.9,27.5666
BLZ,Belmopan,Belize,17.252,-88.7671
BOL,La Paz,Bolivia,-16.498,-68.15
BOL,Sucre,Bolivia,-19.041,-65.2595
BRA,Brasília,Brazil,-15.7833,-47.9161
BRB,Bridgetown,Barbados,13.102,-59.6165
BRN,Bandar Seri Begawan,Brunei,4.8833,114.9333
BTN,Thimphu,Bhutan,27.473,89.639
BWA,Gaborone,Botswana,-24.6463,25.9119
CAF,Bangui,Central African Republic,4.3666,18.5583
CAN,Ottawa,Canada,45.4167,-75.7
CHE,Bern,Switzerland,46.9167,7.467
CHL,Santiago,Chile,-33.45,-70.667
CHN,Beijing,China,39.9289,116.3883
CIV,Abidjan,Côte D’Ivoire,5.32,-4.04
CIV,Yamoussoukro,Côte D’Ivoire,6.8184,-5.2755
CMR,Yaoundé,Cameroon,3.8667,11.5167
COD,Kinshasa,Congo (Kinshasa),-4.3297,15.315
COG,Brazzaville,Congo (Brazzaville),-4.2592,15.2847
COL,Bogotá,Colombia,4.5964,-74.0833
COM,Moroni,Comoros,-11.7042,43.2402
CPV,Praia,Cabo Verde,14.9167,-23.5167
CRI,San José,Costa Rica,9.935,-84.0841
CUB,Havana,Cuba,23.132,-82.3642
CUW,Willemstad,Curaçao,12.2004,-69.02
CYP,Nicosia,Cyprus,35.1667,33.3666
CZE,Prague,Czechia,50.0833,14.466
DEU,Berlin,Germany,52.5218,13.4015
DJI,Djibouti,Djibouti,11.595,43.148
DMA,Roseau,Dominica,15.301,-61.387
DNK,Copenhagen,Denmark,55.6786,12.5635
DOM,Santo Domingo,Dominican Republic,18.4701,-69.9001
DZA,Algiers,Algeria,36.7631,3.0506
ECU,Quito,Ecuador,-0.215,-78.5001
EGY,Cairo,Egypt,30.05,31.25
ERI,Asmara,Eritrea,15.3333,38.9333
ESP,Madrid,Spain,40.4,-3.6834
EST,Tallinn,Estonia,59.4339,24.728
ETH,Addis Ababa,Ethiopia,9.0333,38.7
FIN,Helsinki,Finland,60.1756,24.9341
FJI,Suva,Fiji,-18.133,178.4417
FRA,Paris,France,48.8667,2.3333
FSM,Palikir,"Micronesia, Federated States Of",6.9166,158.15
GAB,Libreville,Gabon,0.3854,9.458
GBR,London,United Kingdom,51.5,-0.1167
GEO,Tbilisi,Georgia,41.725,44.7908
GHA,Accra,Ghana,5.55,-0.2167
GIN,Conakry,Guinea,9.5315,-13.6802
GMB,Banjul,"Gambia, The",13.4539,-16.5917
GNB,Bissau,Guinea-Bissau,11.865,-15.5984
GNQ,Malabo,Equatorial Guinea,3.75,8.7833
GRC,Athens,Greece,37.9833,23.7333
GRD,Saint George’s,Grenada,12.0526,-61.7416
GTM,Guatemala City,Guatemala,14.6211,-90.527
GUM,Hagåtña,Guam,13.4745,144.7504
GUY,Georgetown,Guyana,6.802,-58.167
HND,Tegucigalpa,Honduras,14.102,-87.2175
HRV,Zagreb,Croatia,45.8,16
HTI,Port-au-Prince,Haiti,18.541,-72.336
HUN,Budapest,Hungary,47.5,19.0833
IDN,Jakarta,Indonesia,-6.1744,106.8294
IND,New Delhi,India,28.6,77.2
IRL,Dublin,Ireland,53.3331,-6.2489
IRN,Tehran,Iran,35.6719,51.4243
IRQ,Baghdad,Iraq,33.3386,44.3939
ISL,Reykjavík,Iceland,64.15,-21.95
ISR,Jerusalem,Israel,31.7784,35.2066
ITA,Rome,Italy,41.896,12.4833
JAM,Kingston,Jamaica,17.9771,-76.7674
JOR,Amman,Jordan,31.95,35.9333
JPN,Tokyo,Japan,35.685,139.7514
KAZ,Nur-Sultan,Kazakhstan,51.1811,71.4278
KEN,Nairobi,Kenya,-1.2833,36.8167
KGZ,Bishkek,Kyrgyzstan,42.8731,74.5852
KHM,Phnom Penh,Cambodia,11.55,104.9166
KIR,Tarawa,Kiribati,1.3382,173.0176
KNA,Basseterre,Saint Kitts And Nevis,17.302,-62.717
KOR,Seoul,"Korea, South",37.5663,126.9997
KWT,Kuwait City,Kuwait,29.3697,47.9783
LAO,Vientiane,Laos,17.9667,102.6
LBN,Beirut,Lebanon,33.872,35.5097
LBR,Monrovia,Liberia,6.3106,-10.8048
LBY,Tripoli,Libya,32.8925,13.18
LCA,Castries,Saint Lucia,14.002,-61
LIE,Vaduz,Liechtenstein,47.1337,9.5167
LKA,Colombo,Sri Lanka,6.932,79.8578
LKA,Sri Jayewardenepura Kotte,Sri Lanka,6.9,79.95
LSO,Maseru,Lesotho,-29.3167,27.4833
LTU,Vilnius,Lithuania,54.6834,25.3166
LUX,Luxembourg,Luxembourg,49.6117,6.13
LVA,Riga,Latvia,56.95,24.1
MAR,Rabat,Morocco,34.0253,-6.8361
MCO,Monaco,Monaco,43.7396,7.4069
MDA,Chisinau,Moldova,47.005,28.8577
MDG,Antananarivo,Madagascar,-18.9166,47.5166
MDV,Male,Maldives,4.1667,73.4999
MEX,Mexico City,Mexico,19.4424,-99.131
MHL,Majuro,Marshall Islands,7.103,171.38
MKD,Skopje,Macedonia,42,21.4335
MLI,Bamako,Mali,12.65,-8
MLT,Valletta,Malta,35.8997,14.5147
MMR,Rangoon,Burma,16.7834,96.1667
MMR,Nay Pyi Taw,Burma,19.7666,96.1186
MNE,Podgorica,Montenegro,42.466,19.2663
MNG,Ulaanbaatar,Mongolia,47.9167,106.9166
MNP,Capitol Hill,Northern Mariana Islands,15.2137,145.7546
MOZ,Maputo,Mozambique,-25.9553,32.5892
MRT,Nouakchott,Mauritania,18.0864,-15.9753
MUS,Port Louis,Mauritius,-20.1666,57.5
MWI,Lilongwe,Malawi,-13.9833,33.7833
MYS,Kuala Lumpur,Malaysia,3.1667,101.7
NAM,Windhoek,Namibia,-22.57,17.0835
NER,Niamey,Niger,13.5167,2.1167
NGA,Abuja,Nigeria,9.0833,7.5333
NIC,Managua,Nicaragua,12.153,-86.2685
NLD,The Hague,Netherlands,52.08,4.27
NLD,Amsterdam,Netherlands,52.35,4.9166
NOR,Oslo,Norway,59.9167,10.75
NPL,Kathmandu,Nepal,27.7167,85.3166
NZL,Wellington,New Zealand,-41.3,174.7833
OMN,Muscat,Oman,23.6133,58.5933
PAK,Islamabad,Pakistan,33.7,73.1666
PAN,Panama City,Panama,8.968,-79.533
PER,Lima,Peru,-12.048,-77.0501
PHL,Manila,Philippines,39.9289,120.9822
PLW,Ngerulmud,Palau,7.5,134.6242
PNG,Port Moresby,Papua New Guinea,-9.4647,147.1925
POL,Warsaw,Poland,52.25,21
PRK,Pyongyang,"Korea, North",39.0194,125.7547
PRT,Lisbon,Portugal,38.7227,-9.1449
PRY,Asunción,Paraguay,-25.2964,-57.6415
QAT,Doha,Qatar,25.2866,51.533
ROU,Bucharest,Romania,44.4334,26.0999
RUS,Moscow,Russia,55.7522,37.6155
RWA,Kigali,Rwanda,-1.9536,30.0605
SAU,Riyadh,Saudi Arabia,24.6408,46.7727
SDN,Khartoum,Sudan,15.5881,32.5342
SEN,Dakar,Senegal,14.7158,-17.4731
SGP,Singapore,Singapore,1.293,103.8558
SLB,Honiara,Solomon Islands,-9.438,159.9498
SLE,Freetown,Sierra Leone,8.47,-13.2342
SLV,San Salvador,El Salvador,13.71,-89.203
SMR,San Marino,San Marino,43.9172,12.4667
SOM,Mogadishu,Somalia,2.0667,45.3667
SRB,Belgrade,Serbia,44.8186,20.468
SSD,Juba,South Sudan,4.83,31.58
STP,São Tomé,Sao Tome And Principe,0.3334,6.7333
SUR,Paramaribo,Suriname,5.835,-55.167
SVK,Bratislava,Slovakia,48.15,17.117
SVN,Ljubljana,Slovenia,46.0553,14.515
SWE,Stockholm,Sweden,59.3508,18.0973
SWZ,Mbabane,Swaziland,-26.3167,31.1333
SWZ,Lobamba,Swaziland,-26.4667,31.2
SXM,Philipsburg,Sint Maarten,18.0255,-63.045
SYC,Victoria,Seychelles,-4.6166,55.45
SYR,Damascus,Syria,33.5,36.3
TCD,N’Djamena,Chad,12.1131,15.0491
TGO,Lomé,Togo,6.1319,1.2228
THA,Bangkok,Thailand,13.75,100.5166
TJK,Dushanbe,Tajikistan,38.56,68.7739
TKM,Ashgabat,Turkmenistan,37.95,58.3833
TLS,Dili,Timor-Leste,-8.5594,125.5795
TON,Nuku‘alofa,Tonga,-21.1385,-175.221
TTO,Port of Spain,Trinidad And Tobago,10.652,-61.517
TUN,Tunis,Tunisia,36.8028,10.1797
TUR,Ankara,Turkey,39.9272,32.8644
TUV,Funafuti,Tuvalu,-8.5167,179.2166
TWN,Taipei,Taiwan,25.0358,121.5683
TZA,Dar es Salaam,Tanzania,-6.8,39.2683
TZA,Dodoma,Tanzania,-6.1833,35.75
UGA,Kampala,Uganda,0.3167,32.5833
UKR,Kyiv,Ukraine,50.4334,30.5166
URY,Montevideo,Uruguay,-34.858,-56.1711
USA,Washington,United States,38.9047,-77.0163
UZB,Tashkent,Uzbekistan,41.3117,69.2949
VCT,Kingstown,Saint Vincent And The Grenadines,13.1483,-61.2121
VEN,Caracas,Venezuela,10.501,-66.917
VNM,Hanoi,Vietnam,21.0333,105.85
VUT,Port-Vila,Vanuatu,-17.7334,168.3166
WSM,Apia,Samoa,-13.8415,-171.739
XKS,Pristina,Kosovo,42.6666,21.1724
XWB,Al Quds,West Bank,31.7764,35.2269
YEM,Sanaa,Yemen,15.3547,44.2066
ZAF,Cape Town,South Africa,-33.92,18.435
ZAF,Pretoria,South Africa,-25.7069,28.2294
ZAF,Bloemfontein,South Africa,-29.12,26.2299
ZMB,Lusaka,Zambia,-15.4166,28.2833
ZWE,Harare,Zimbabwe,-17.8178,31.0447
